iso_code,year,life_expectancy
BTN,2002,67.84566543
PHL,2007,69.58190674
URY,2015,77.09925201
TON,2019,72.94212581
BRA,2003,72.30491342
FJI,2006,67.08069927
TON,2016,72.56032607
AUS,2006,81.04245453
ISL,2005,80.90304444
FSM,2001,63.81961029
KEN,2007,58.55063756
ATG,2016,75.54812509
PNG,2011,65.03278821
JAM,2011,72.86139713
SUR,2000,70.55904903
UZB,2009,66.2800996
ECU,2017,77.31252311
NZL,2003,79.05551434
ALB,2013,77.77410839
CHL,2005,78.0049121
ZWE,2021,58.48102238
RUS,2011,69.77052933
HTI,2005,58.63996581
BEN,2020,64.40363479
BFA,2005,55.19811279
KGZ,2000,65.93470005
CYP,2010,81.17822871
MLT,2017,82.05744637
TCD,2011,56.17787256
TON,2021,72.72088222
DNK,2013,80.1645831
LBN,2018,79.36847038
HRV,2003,74.86052687
LTU,2003,71.84648999
PAK,2009,63.92267166
GRD,2008,70.92544169
DZA,2014,75.93393131
GNB,2003,51.43513822
MNE,2004,73.73506539
COM,2018,68.19621524
SAU,2013,77.33139242
CHN,2019,77.31273653
BWA,2000,47.16383585
VEN,2006,74.69093059
GAB,2013,63.25439162
ARG,2003,74.25492535
ZAF,2003,52.93394541
FSM,2003,64.10175678
PRY,2003,75.00581985
GBR,2011,80.64139781
ARE,2017,80.92702059
JOR,2005,73.42688191
CUB,2014,78.1433227
TON,2005,71.97193468
THA,2020,76.50524949
LKA,2008,73.1378661
UKR,2018,72.71826067
MRT,2010,68.45329118
GHA,2010,61.9748058
TGO,2011,59.7945853
LKA,2015,76.44590803
VNM,2019,73.71007094
SOM,2004,49.44567549
TUR,2019,77.61966184
SAU,2005,71.81634573
CYP,2018,82.05668584
KIR,2000,60.08437065
BHS,2000,70.96744554
TCD,2005,52.94619682
TUN,2015,76.78627015
ECU,2006,73.97387898
ARM,2005,72.0754129
FIN,2003,78.41020069
PSE,2020,75.1341365
LVA,2014,74.4358747
ESP,2020,81.92498871
TJK,2006,68.48925177
GHA,2001,59.15248936
CRI,2005,79.72199388
MDA,2017,72.85856435
SLE,2009,54.19029086
MUS,2006,72.37604294
PRY,2020,75.24817035
ZMB,2003,47.10240747
MDA,2019,73.32010877
TGO,2001,56.11218609
MEX,2015,75.93967708
SVK,2007,74.470327
CMR,2016,59.79056297
KOR,2007,79.37954426
ITA,2013,82.2878749
LBY,2002,73.4501765
COM,2020,68.30703432
SUR,2011,73.11587921
COL,2005,74.43998835
SYC,2004,72.21510064
CZE,2006,76.60775206
COD,2013,58.89523659
LUX,2015,82.3849065
URY,2008,76.39345878
SDN,2003,63.67737719
ERI,2007,59.29093298
PRI,2000,76.24708096
ARM,2018,75.62030513
SYC,2014,73.23814592
VCT,2000,71.66187212
USA,2006,77.68331379
MWI,2011,58.10856356
CUB,2009,78.01983317
CHE,2009,81.89043047
LVA,2002,70.10625692
IND,2020,70.1869093
CIV,2001,51.50148868
SLV,2021,71.66703998
AZE,2013,72.08992478
JOR,2020,77.55988721
SVK,2013,76.47557345
BWA,2006,54.88555112
URY,2016,76.84527198
MDV,2008,74.09191071
BGD,2008,69.03267464
TCD,2006,53.09314194
COG,2019,62.75844008
KEN,2001,54.33283599
LBN,2009,77.79033646
USA,2000,76.65847648
BDI,2001,45.560229
MUS,2008,72.86571029
PRI,2006,78.05684106
COG,2021,63.17262301
ARE,2000,78.11838329
KGZ,2005,67.04293061
MDV,2018,78.67792046
LBN,2004,77.0970413
SYC,2002,72.11976114
BEL,2012,80.07118579
ESP,2000,79.09037288
NLD,2003,78.52543386
GUY,2007,65.67248785
NGA,2011,60.1981229
ITA,2015,82.20433624
MAR,2015,73.26259745
MYS,2006,74.30399222
MDA,2000,65.65922366
SEN,2001,59.28989485
PAN,2012,77.44906477
GEO,2016,72.63239027
FSM,2011,64.90882285
IRQ,2018,73.06286041
MLT,2003,78.67686
EST,2009,75.04425699
MAR,2000,70.19460372
SVK,2001,73.45130702
GNQ,2002,55.47366319
CZE,2012,77.96926876
SEN,2021,67.79198263
LCA,2017,76.138896
MMR,2009,63.9906783
DZA,2000,72.46839135
SLB,2007,63.76837921
AUT,2017,81.38857295
LKA,2009,72.41934945
ALB,2016,77.87870915
SLV,2010,74.56329622
IRN,2021,74.71077692
SSD,2003,54.40318481
TLS,2009,66.64368547
SWZ,2002,43.63857902
GNQ,2007,58.62674902
CPV,2000,71.69763358
MKD,2006,73.8246386
CAN,2009,80.88259979
ISR,2007,80.12300616
NLD,2013,81.11693502
IND,2009,67.04997477
MAR,2009,72.16145438
URY,2017,77.33933717
ATG,2008,75.05552794
RWA,2009,62.96873523
TLS,2019,68.49880356
TZA,2015,65.15719683
GMB,2011,62.84614338
HTI,2015,62.5149437
AZE,2015,73.62700051
AFG,2012,59.92210578
AZE,2010,69.81386619
HUN,2008,74.0004346
MKD,2005,73.73592756
PRI,2021,79.90294803
GHA,2020,66.18136667
BGD,2006,68.09324389
CPV,2018,73.8583216
AZE,2003,66.74212235
JOR,2018,79.63154866
WSM,2018,70.09269594
TLS,2002,63.92197693
NER,2019,60.57303502
TUR,2001,74.03517034
LVA,2001,69.80978592
PHL,2009,69.39723001
MOZ,2017,57.33253714
TON,2009,70.18279546
CMR,2010,56.78466995
GRD,2001,71.53484581
MKD,2017,75.98451895
PER,2009,78.11832326
LBN,2016,78.81840788
SVN,2013,80.1367942
IND,2006,65.87842362
KIR,2010,61.36040242
EGY,2007,69.74814425
BLR,2005,68.69743153
DNK,2009,78.87762743
BHS,2014,72.64786335
BLZ,2001,70.61498891
VUT,2014,66.71134263
BWA,2017,64.01180659
KIR,2004,60.91263256
TZA,2009,61.03787589
KIR,2021,60.87345633
OMN,2014,73.9416621
NER,2010,58.29155093
MDV,2015,77.25297582
GHA,2019,65.97133363
KWT,2015,81.44722022
PAK,2021,65.99092295
LVA,2006,70.37307271
BGD,2021,73.10251672
MMR,2014,67.0395851
CPV,2021,73.16097765
FSM,2010,64.77779493
CMR,2014,58.43615921
STP,2014,70.26367532
CAN,2008,80.56313756
LAO,2015,66.87363139
IDN,2020,69.70367312
SYC,2021,74.01196664
DJI,2012,62.75529104
SYC,2019,73.12375678
DJI,2002,59.49469647
LSO,2017,51.05416565
MRT,2014,69.29386756
URY,2006,76.33233577
DJI,2016,64.3388502
JPN,2021,84.46067178
SLV,2014,73.8558025
USA,2012,78.77111574
COM,2005,64.27700657
LSO,2013,48.96059544
TUR,2007,76.70654932
KIR,2016,61.75804085
ETH,2019,68.84848169
MNE,2013,76.3576393
SSD,2002,53.71928707
KEN,2002,54.58698847
NAM,2017,62.37183813
NAM,2021,60.35994599
SRB,2004,72.65350507
UZB,2017,70.40271496
BWA,2019,64.91884565
LUX,2010,81.17521457
GUY,2021,66.0777533
ESP,2012,81.9595375
LAO,2005,61.3511366
TKM,2014,68.91649587
MAR,2002,70.73932756
QAT,2013,75.79521614
SWZ,2016,53.13250876
BHR,2001,70.36971635
DZA,2013,75.79056138
BIH,2004,76.62934847
LBN,2012,78.05803939
VNM,2005,72.17650018
MLT,2007,79.64226641
ECU,2005,73.75770165
TUR,2020,76.17525576
VUT,2017,66.98064455
MDV,2014,76.80961188
PRY,2019,75.07903551
ALB,2007,74.53678554
NER,2021,59.97070525
ISR,2002,78.56218757
JAM,2020,72.64037778
MDA,2003,66.19700504
VEN,2020,72.40374475
SEN,2000,58.6097114
SYC,2020,77.26435364
GNB,2012,56.47290302
SYR,2005,73.23261717
SYC,2005,72.35775752
KHM,2000,59.10171682
SLB,2018,65.55013712
AGO,2017,62.03682911
GMB,2006,60.88522742
COD,2012,58.3404554
TTO,2002,71.08783441
DOM,2005,72.80023496
PRT,2011,80.24005801
RUS,2013,70.69584464
GNQ,2020,61.15866176
JOR,2010,76.68909265
FSM,2020,65.67162273
SSD,2005,55.89935062
BRA,2009,73.8424263
COM,2013,66.72653391
TZA,2012,63.07821297
PRI,2010,79.0570999
VUT,2019,67.13030878
MNG,2007,66.37749458
BFA,2009,58.06655977
TLS,2011,67.28464088
DNK,2005,78.13130379
NGA,2006,57.55220397
RWA,2000,46.89447249
BWA,2004,50.64076648
AFG,2019,61.22381311
GIN,2016,59.83918056
VUT,2004,65.14603809
CZE,2004,75.78544673
GUY,2008,65.75519494
USA,2010,78.6069239
MNE,2014,76.62030337
NPL,2016,70.59248
PAK,2017,66.3818317
SOM,2002,49.39676377
VCT,2005,72.5595686
CRI,2021,78.63053412
CIV,2009,57.18053039
SVN,2011,79.84960348
PHL,2014,69.80391436
USA,2007,77.94056193
MYS,2019,74.68410362
CUB,2007,78.10025005
NER,2002,51.88652859
MMR,2000,59.37966802
POL,2008,75.43243412
BEN,2018,63.73859672
VNM,2016,73.21381033
DOM,2012,73.71953299
TKM,2013,69.11794049
TCD,2009,55.19430969
KOR,2004,77.92814417
SLE,2000,49.78648969
FJI,2013,67.62910016
MLI,2014,59.77561439
CUB,2016,78.14353782
SVN,2017,80.7898907
KOR,2017,83.09217588
CHL,2009,79.00490643
UZB,2004,63.42369036
CPV,2019,74.05989707
SGP,2020,83.99653626
ISL,2006,81.03602001
IDN,2014,70.30298584
IRQ,2006,67.66517621
IRQ,2009,70.61725364
ARG,2021,74.56898059
COL,2015,77.34484367
ARG,2017,76.64354126
SEN,2019,68.76445374
ARE,2020,80.1312721
EGY,2019,71.58973358
PER,2016,80.1644759
PSE,2008,68.97864967
BEL,2014,80.94130643
SUR,2020,72.80157877
HND,2011,70.68279372
DJI,2003,59.65312998
UZB,2014,68.81484391
CAN,2010,81.14359407
LSO,2020,51.85352687
THA,2007,73.93719029
UZB,2012,67.64432032
BTN,2010,71.72710313
GMB,2008,61.50169712
SYR,2010,73.76180647
TGO,2006,57.51444622
BGR,2014,74.40807537
BRN,2013,76.81966837
BHS,2006,72.66353382
NLD,2009,80.54360994
ATG,2018,75.62352245
ATG,2021,76.91527032
BTN,2001,67.18030943
GRC,2010,80.23861699
BRB,2002,74.85759375
EST,2003,71.87885357
SWZ,2003,42.59286029
FJI,2000,65.82507716
PNG,2013,65.47647701
GRC,2002,78.97253017
SLV,2015,72.73292352
RUS,2002,64.86108252
MLT,2015,81.67976101
GNB,2016,58.02773484
SWE,2011,81.52274171
BWA,2011,58.41247242
BRA,2014,74.63621389
MDA,2002,66.13288732
PAN,2009,77.16899668
CZE,2020,78.12978194
ALB,2005,74.20683098
LSO,2006,42.3928282
FRA,2014,82.2489409
ESP,2006,80.67223061
KWT,2004,78.50276726
TON,2006,72.01750935
NZL,2002,78.65902491
MWI,2001,45.39400815
MNE,2001,73.45014953
PRI,2007,78.30688641
CRI,2002,78.85732142
DJI,2006,60.21901234
MKD,2011,74.96127325
POL,2010,76.23355347
UZB,2008,65.44084852
MRT,2018,69.9973737
CMR,2009,56.2682285
BIH,2019,77.09808482
ROU,2018,75.12257592
CUB,2006,78.02512407
KEN,2013,63.11575218
BEN,2016,63.0021663
SWE,2012,81.46624768
CHN,2008,73.99659977
NZL,2009,80.56243651
TKM,2009,68.42683026
BGR,2018,74.85071858
PHL,2004,69.2903715
BLR,2003,68.37573872
ROU,2004,71.76511513
GMB,2003,59.85443013
BRA,2000,71.4995438
ZWE,2005,45.7065362
MDA,2001,66.20689138
ETH,2014,66.55987824
FRA,2018,82.37708106
DOM,2018,73.52093617
TCD,2012,56.60362018
RWA,2002,50.60960504
MDV,2005,72.865727
BEN,2002,58.09380517
IRL,2008,79.58286978
PRT,2013,80.52727852
BOL,2001,66.7449711
URY,2010,76.48217264
MNE,2016,77.06052079
ZAF,2020,64.30356494
LBN,2015,78.43741249
BDI,2014,62.32268744
ISR,2011,81.64888794
SOM,2010,49.52620758
GRC,2021,79.59785025
MLI,2000,53.05862872
AUT,2000,78.17598734
PAK,2006,63.07149815
SRB,2012,74.84163486
IND,2004,65.06317912
ECU,2003,73.9172371
ISR,2013,81.92176085
VNM,2002,72.06004934
PRT,2020,80.81837464
ARG,2011,75.94927296
PHL,2003,69.52481782
SYR,2003,72.65734085
MDG,2001,59.24814899
PRI,2015,80.5149692
SVK,2000,73.32287483
PER,2011,78.64438915
ARM,2004,72.03083518
NER,2011,58.60580875
DZA,2001,72.77159448
SEN,2014,66.97585439
KAZ,2002,65.03142074
LCA,2012,76.39869599
NER,2018,60.43807872
HUN,2017,75.90176306
FRA,2019,82.52902201
SLE,2002,51.28114602
BHS,2008,72.97662842
MDV,2007,73.714686
KGZ,2013,70.72932374
SDN,2010,66.94489813
ARE,2018,81.16639668
SYC,2011,73.29952908
PHL,2018,69.67627942
SYR,2009,73.73835464
PAK,2015,65.69975806
HRV,2012,77.35911283
SLV,2002,73.27326528
NLD,2014,81.45622695
STP,2019,71.65568515
BTN,2014,72.91360226
CHN,2003,71.68827313
SAU,2016,76.75114086
SWZ,2001,44.97441053
GAB,2015,64.00078432
CZE,2014,78.68016445
CZE,2002,75.36384265
THA,2006,73.40943067
RWA,2008,62.1374836
ZMB,2015,60.4135173
DEU,2002,78.46153264
SLB,2014,64.95591891
GNB,2013,56.92169618
BRB,2021,76.8418344
SRB,2005,72.78382532
MMR,2002,60.19994618
NGA,2002,54.96389545
NZL,2000,78.57519182
TUN,2020,77.12175333
TON,2000,70.95399808
BTN,2008,70.90903814
SVK,2005,74.09775351
GHA,2008,61.08557755
TLS,2021,67.99671222
BEN,2009,60.99409615
ESP,2001,79.39483865
PAN,2020,77.34684989
CIV,2019,63.48479652
JAM,2002,73.03304352
CIV,2007,55.73160801
LTU,2008,71.62596428
CHL,2008,79.19803048
MMR,2021,67.84580637
SYR,2020,71.99813819
GRC,2009,80.02249419
BFA,2001,52.3617692
BHS,2010,72.74533372
ATG,2001,74.69656338
CRI,2015,80.57423676
HND,2019,71.43843431
TON,2020,73.18678447
ZMB,2006,51.7626963
ATG,2006,75.54507792
GRD,2013,72.62189848
MDG,2016,63.46510267
ARM,2000,71.62172824
ZWE,2003,45.01274563
ALB,2018,77.93851855
IND,2012,68.2280584
BDI,2007,56.45412415
SYR,2013,64.68588767
EGY,2018,71.35791195
BRB,2007,75.24398474
JPN,2020,84.66324868
AZE,2012,71.2113018
ZMB,2017,61.28533224
SYR,2001,71.76491508
LBY,2017,73.15169822
WSM,2001,69.77577511
EGY,2011,70.08390953
FIN,2008,79.5834765
BHS,2017,73.21936648
LBR,2008,59.75630294
UKR,2019,73.00449182
AUT,2002,78.70354232
MKD,2020,74.37069175
BFA,2008,57.43072999
BGD,2016,73.44362068
NIC,2006,76.73424987
BHR,2014,75.64496177
LCA,2013,76.18455493
LUX,2012,81.56608895
AZE,2020,71.43112767
BEN,2011,61.56618181
NLD,2006,79.71293798
BEN,2001,57.74456271
CHE,2000,79.71469969
FRA,2007,80.79627532
ALB,2000,73.68285742
GTM,2021,68.69573697
HRV,2020,77.86469683
JPN,2015,83.99957263
LTU,2014,74.49843919
SVK,2012,76.13275335
BRB,2010,75.95734033
SVK,2002,73.72313973
VCT,2006,72.92616303
LUX,2020,82.82955161
LBR,2001,53.93145331
WSM,2019,69.99170791
BFA,2021,62.29728841
IRQ,2005,68.68305138
IRQ,2007,67.80830577
SGP,2003,79.61117466
BGR,2021,71.30586
ITA,2012,81.83712041
SRB,2016,75.67951218
NGA,2013,61.04119261
SOM,2016,53.9446075
KWT,2010,80.49475441
KIR,2001,60.39204806
BEN,2006,59.54016851
ALB,2006,74.22366059
COD,2019,61.83901232
ERI,2000,54.93355711
BGD,2009,69.60483119
GAB,2021,65.09380891
GMB,2009,61.85818495
HRV,2007,75.91802017
SLB,2002,63.47177399
NAM,2009,59.50436576
SEN,2017,68.11975233
FRA,2020,81.87409035
PER,2018,78.99013811
MEX,2012,75.6445679
BRB,2012,76.23035481
PRY,2008,74.99888647
HTI,2011,61.10474412
SYC,2007,72.47348081
ARG,2006,75.5327089
GUY,2000,64.65122902
BWA,2005,53.16798551
IRQ,2016,71.1253103
FRA,2006,80.52598237
CHL,2004,77.54890712
ARE,2010,80.45344335
MKD,2003,73.22933201
AZE,2006,67.63797731
ECU,2015,77.15293465
BWA,2007,55.77024629
GAB,2004,58.70865642
LVA,2015,74.8108617
HRV,2014,78.05645984
FSM,2000,63.55831516
ZMB,2009,56.61649649
SEN,2005,62.36297007
BRA,2011,74.01518436
VEN,2010,74.662242
BEL,2016,81.07460591
ALB,2014,78.01445206
AUT,2018,81.42361625
POL,2007,75.17671647
ISR,2000,78.54383666
BEN,2017,63.34863103
NPL,2002,66.45258988
ARM,2010,73.01384261
KIR,2008,61.27006207
GRC,2018,81.05191982
TUR,2006,76.53841522
WSM,2011,70.50058194
COM,2021,67.4970386
TCD,2000,51.16932904
CHL,2002,77.34180988
ARE,2013,80.56393138
THA,2001,71.72869386
FRA,2001,79.01103311
BLZ,2006,72.62147619
RUS,2018,72.66311936
SEN,2020,68.56112195
SYR,2000,71.08679254
MEX,2019,75.8344286
LUX,2011,81.39260196
BRA,2020,74.11393563
CMR,2017,60.64260038
LTU,2019,76.24761609
EGY,2005,69.52274009
THA,2002,71.71439141
GIN,2011,58.59208329
YEM,2003,64.67397283
BGD,2000,65.36178128
VEN,2021,71.22082891
ISR,2021,81.74464677
MDV,2016,77.72035574
UGA,2010,59.96020545
ZWE,2011,53.27755042
GTM,2000,68.30883271
SLE,2005,52.10902537
GRD,2006,70.91199156
COL,2016,77.57662615
BTN,2003,68.38453582
SSD,2014,59.09264997
NPL,2013,69.97888467
LCA,2004,73.99518133
BEL,2017,81.1512532
GBR,2021,80.10062783
GNQ,2011,59.83129965
MLI,2001,53.62181973
LKA,2011,74.95837466
FSM,2012,65.02895443
DJI,2001,59.48459433
FRA,2013,81.81996075
IRL,2006,79.06563288
UGA,2003,51.68238982
VUT,2001,64.97955845
GNQ,2016,60.85942801
CYP,2014,81.84705653
SLB,2003,63.54307905
NAM,2018,62.82854728
TKM,2015,68.83222809
PNG,2014,65.75249158
GAB,2012,62.66758728
CYP,2013,81.84969587
ATG,2015,75.61540401
CMR,2001,52.89875064
SVN,2005,77.44125575
BGD,2011,71.08337441
DNK,2001,77.04219494
ETH,2001,52.82154779
FJI,2014,67.72103011
GNQ,2010,60.00998447
VUT,2006,65.37131308
ETH,2003,54.78484585
BTN,2016,73.28424565
SDN,2019,69.46506253
PRK,2017,71.92237066
NIC,2003,75.81400954
GUY,2014,66.55197342
MWI,2007,52.54577058
FIN,2006,79.23326293
BRN,2016,76.41822612
HTI,2002,57.58049169
NIC,2016,77.92580193
NOR,2013,81.43412297
HTI,2007,59.85463205
MKD,2014,75.25754035
BDI,2009,58.71584557
BLR,2013,72.59208184
ISR,2010,81.53399975
BGR,2007,72.92323217
TLS,2006,65.99128891
RUS,2003,64.72303979
OMN,2010,73.02000136
ARG,2020,76.22884718
QAT,2021,76.7101384
ROU,2000,71.14174922
YEM,2009,67.58534902
MOZ,2015,55.85530982
HTI,2012,61.52991507
ARM,2009,72.73278531
LAO,2018,68.05389772
TCD,2010,55.72346132
CPV,2014,74.86891105
JOR,2003,73.51735567
GIN,2001,54.67176541
CAF,2017,51.26742466
COM,2010,65.96560133
DOM,2021,73.32102758
GIN,2007,57.16190125
KHM,2018,69.35586113
SVN,2003,76.34395429
IRN,2015,77.27827213
AUT,2015,80.98621911
YEM,2000,63.08164608
ISL,2012,81.9847692
ERI,2004,57.68987112
ISL,2017,82.27340584
MWI,2008,54.26093144
GNB,2009,54.71780339
RWA,2011,65.04603076
LTU,2013,73.86695735
MNG,2009,66.92759176
SVK,2017,77.09456027
LBR,2015,60.37754989
IRN,2019,77.78361908
WSM,2004,70.17537437
ITA,2020,81.93997914
TUN,2003,74.95127697
MDA,2005,65.99301769
MEX,2005,74.92683948
ISR,2005,79.7067797
HRV,2000,74.75166907
TLS,2017,68.23558592
TTO,2015,74.35412517
CPV,2017,74.91155361
SOM,2011,43.81163424
VCT,2021,72.55709418
UKR,2005,67.10598289
SWE,2002,79.75650347
MNG,2017,70.09899409
ARG,2010,75.76938267
AGO,2006,54.27926946
TJK,2007,68.67357175
KGZ,2010,69.19156126
FSM,2014,65.26774587
PAN,2003,76.1866534
VEN,2009,74.56885736
TON,2018,72.84423109
NPL,2004,67.69735163
CMR,2020,62.18085382
ITA,2007,81.17657713
BRA,2017,74.98912241
LSO,2007,43.88764108
TJK,2004,67.99767342
BWA,2012,59.74879487
GNQ,2019,61.38714512
ARM,2014,74.19757704
GHA,2000,59.08500401
BEL,2007,79.56569667
CAN,2005,79.95094625
TZA,2007,59.37881257
OMN,2000,71.65888476
HTI,2017,63.2460029
SLV,2011,74.57443118
POL,2005,74.89551806
NPL,2000,65.36598722
JPN,2004,82.37003875
NAM,2001,52.37399446
MNE,2011,75.9899009
PAK,2000,61.40857442
BEL,2001,77.97358091
NPL,2017,70.84484004
ETH,2008,61.00289968
SYR,2008,73.54815311
EST,2017,78.2161445
THA,2013,76.54383011
RWA,2020,68.26351399
CPV,2015,74.82831017
SOM,2019,55.21397342
BRN,2009,76.87788068
BOL,2009,70.13714581
DNK,2014,80.51401409
URY,2003,74.80937399
BRB,2001,75.05768919
GTM,2017,72.69594645
OMN,2021,72.47676726
HTI,2009,60.74938385
MKD,2018,76.46395817
ARM,2011,73.30611739
MYS,2007,74.43641055
GUY,2003,64.68058964
JPN,2000,81.5301793
PNG,2019,66.67377821
MYS,2001,73.51935373
GHA,2011,62.58287212
CIV,2021,63.5174083
ZAF,2011,59.100348
NAM,2003,51.39447349
AGO,2008,56.22016209
BOL,2000,66.09385895
NAM,2015,61.8615054
LVA,2004,70.8139625
UZB,2015,69.42591804
GNB,2004,51.76786398
NIC,2015,78.26048387
MYS,2012,74.61637828
IRN,2005,74.88504507
VEN,2000,74.03248641
JOR,2006,73.85308999
COD,2014,59.46084106
MLI,2005,56.25739607
TKM,2012,69.3130409
CAN,2020,81.29950989
JPN,2007,82.7592849
LAO,2013,65.9670211
AUS,2003,80.56634063
ISL,2009,81.49587558
CHN,2007,73.8389379
OMN,2008,73.35031827
MDG,2006,61.19063264
BFA,2019,62.61228276
TTO,2014,74.31626767
DEU,2020,80.79637728
CHN,2020,77.48113543
ARG,2013,76.20888199
FJI,2018,67.86709271
THA,2012,76.18036117
MLI,2018,61.31661022
TON,2007,72.00901963
PHL,2010,69.68865207
BRA,2005,73.14791265
SYC,2006,72.35760551
EGY,2003,68.78353005
KEN,2000,54.09203911
PNG,2010,64.88774886
BIH,2009,76.7825838
PAK,2019,67.02931501
MUS,2021,73.41967032
BGD,2002,66.35390682
MNG,2012,67.84058521
MLT,2009,80.24911661
YEM,2013,68.75410162
NOR,2008,80.49471477
BTN,2013,72.72164626
MLT,2006,79.36712993
TJK,2008,69.0368299
SWE,2009,81.1481904
PRY,2000,74.68296704
PRT,2009,79.40582714
MNE,2005,73.98743557
MDG,2003,59.72543671
COL,2008,75.40888643
LTU,2000,71.99825868
CYP,2003,79.11243929
ERI,2002,56.7567552
BLZ,2014,74.2195742
ZWE,2009,49.66000005
LBR,2002,53.66640831
UZB,2000,61.67667881
NLD,2002,78.28829662
PRK,2007,69.69220494
LTU,2017,75.48786469
WSM,2015,70.01944065
KOR,2001,76.56907797
AGO,2009,57.07394875
SLB,2000,63.397598
ISL,2014,82.09822512
ERI,2019,63.76432633
TJK,2000,65.64695846
KHM,2017,69.12694998
NZL,2005,79.93637338
UGA,2015,64.2155816
AZE,2008,68.71279885
SWZ,2018,54.73682091
AFG,2013,60.43497705
SLB,2005,63.69667846
BFA,2003,53.57987835
PAN,2001,76.07140858
GMB,2005,60.52311247
CHE,2001,80.10038738
ITA,2005,80.51057716
SLE,2015,56.88673236
TJK,2019,73.80997068
CAF,2003,45.20505974
SEN,2008,64.57897818
GAB,2008,60.80435396
LAO,2016,67.33210713
BFA,2017,61.8809308
MNG,2021,70.09795294
BEN,2008,60.45115465
ATG,2007,74.95910853
ATG,2017,75.565575
GIN,2021,61.26251027
TUR,2008,76.65466357
SOM,2005,49.79233436
VEN,2017,72.98365736
SLE,2013,57.05432525
LBR,2016,62.21305435
BGD,2017,73.37868377
EST,2014,77.0967995
CHL,2003,77.44592963
IRQ,2020,70.41410059
MAR,2020,72.50615909
HND,2013,69.35287284
GNQ,2018,61.42093734
BHS,2011,72.74543627
MOZ,2014,55.02757929
MDV,2002,71.06296933
CYP,2001,78.86668678
MNG,2010,67.10227644
NZL,2013,81.36359879
IND,2018,70.35439242
USA,2011,78.65364022
CHE,2007,81.59797301
IND,2000,63.19893734
CZE,2021,77.07730392
LAO,2000,58.27571315
SLB,2015,65.15166823
USA,2021,76.37368104
NLD,2008,80.25577925
AZE,2002,66.7152002
KAZ,2009,68.51597079
PRI,2012,79.34782827
HND,2008,70.9858569
LAO,2003,60.19558269
GTM,2012,71.91726662
MWI,2003,47.14250921
DOM,2000,73.39790354
ITA,2014,82.61004631
TKM,2019,69.14190532
STP,2007,67.22798633
SGP,2017,83.22151158
NZL,2001,78.46853865
SVN,2009,79.05086528
CHL,2006,78.48262712
CAF,2012,49.82204247
WSM,2017,69.98522366
BHS,2001,71.11367814
ITA,2002,79.95596277
THA,2008,74.46372111
RUS,2016,71.6156235
LBR,2014,58.11259758
BGR,2000,71.6428836
TGO,2005,56.95869918
QAT,2005,71.03950228
EGY,2012,69.82990211
KWT,2006,78.57389835
LTU,2011,73.54804338
HRV,2005,75.47609796
IDN,2012,69.79466506
SWE,2013,81.64075183
PAK,2013,65.10777782
ETH,2009,62.16370614
GRC,2003,79.0919372
BGR,2015,74.56358707
MEX,2004,75.04316184
SVN,2016,80.81692358
TLS,2016,68.07445467
KGZ,2012,69.96020158
TKM,2002,65.87608131
SRB,2011,74.54862943
FJI,2016,67.7499939
DEU,2012,80.59346041
PAN,2008,76.98278869
MDG,2015,63.35879155
SGP,2014,82.60495523
FIN,2011,80.2843093
CHL,2001,76.75737429
PRT,2019,81.36750616
CHE,2006,81.41480541
MLI,2002,54.16297861
SWE,2003,80.00643909
AGO,2021,62.13113467
CZE,2016,78.93030378
CHN,2005,72.44256077
LCA,2006,74.71126509
HRV,2001,75.00312259
JOR,2008,75.81217115
CPV,2016,74.86326568
ETH,2015,67.10395358
TUN,2006,75.57522085
SSD,2018,58.86129412
TKM,2004,65.61545494
AUS,2016,82.59341791
LBY,2008,74.20131986
